"PointID"	"x"	"y"	"Conservative_1"	"Conservative_2"	"Conservative_3"	"Conservative_4"	"Conservative_5"	"Conservative_6"	"Pressure"	"Temperature"	"C<sub>p</sub>"	"Mach"	"<greek>m</greek>"	"C<sub>f</sub>_x"	"C<sub>f</sub>_y"	"h"	"y<sup>+</sup>"	"<greek>m</greek><sub>t</sub>"
33	-4.448528400000000e-02	1.189339825000000e-03	1.225860507430392e+00	8.346194200898212e+01	1.092625816788013e-02	2.564240813078838e+05	2.803597034883457e-01	2.683521851546328e+03	1.014330042602844e+05	2.882495115499551e+02	4.689192648584396e-02	2.000388274916011e-01	1.789777718331179e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.280712091810314e-04	
34	-4.642462350000000e-02	1.189339825000000e-03	1.225881061798265e+00	8.346208395816861e+01	1.093503886109833e-02	2.564294622355841e+05	2.822437387330872e-01	2.700260262201339e+03	1.014351708949997e+05	2.882508354451567e+02	4.765579431664308e-02	2.000353542848824e-01	1.789784104910765e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.281347798126519e-04	
35	-4.836396300000000e-02	1.189339825000000e-03	1.225897936245483e+00	8.346224499651231e+01	1.099688338882285e-02	2.564338801217360e+05	2.841494032936004e-01	2.717186716617292e+03	1.014369483708700e+05	2.882519187089535e+02	4.828246046749367e-02	2.000326109157183e-01	1.789789330654127e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.281980973050694e-04	
36	-5.030330250000000e-02	1.189339825000000e-03	1.225912007438161e+00	8.346253188765144e+01	1.111242205634558e-02	2.564375711530699e+05	2.860774053062414e-01	2.734306329823937e+03	1.014384290676281e+05	2.882528177387692e+02	4.880449429844482e-02	2.000306905910988e-01	1.789793667632191e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.282613152762924e-04	
37	-5.224264200000000e-02	1.189339825000000e-03	1.225924248322791e+00	8.346301529097411e+01	1.128058496179412e-02	2.564407936943740e+05	2.880284612688811e-01	2.751624248590460e+03	1.014397153086377e+05	2.882535945412391e+02	4.925797089186749e-02	2.000295823456877e-01	1.789797414972385e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.283245977597419e-04	
38	-5.418198150000000e-02	1.189339825000000e-03	1.225935497251300e+00	8.346377289897066e+01	1.148309774121665e-02	2.564437759597061e+05	2.900031699797807e-01	2.769144833929036e+03	1.014408970407023e+05	2.882543075944984e+02	4.967460185526942e-02	2.000293152617820e-01	1.789800854778412e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.283880770868550e-04	
39	-5.612132100000000e-02	1.189339825000000e-03	1.225947386212040e+00	8.346463533879790e+01	1.163305012840944e-02	2.564469266012497e+05	2.920022156001106e-01	2.786872713468724e+03	1.014421438498840e+05	2.882550550661809e+02	5.011417637991300e-02	2.000291830285620e-01	1.789804460616313e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.284519925371306e-04	
40	-5.806066050000000e-02	1.189339825000000e-03	1.225958289870399e+00	8.346607669251722e+01	1.078073264384533e-02	2.564499308982732e+05	2.940245631273873e-01	2.804801361156364e+03	1.014433154347430e+05	2.882558204411316e+02	5.052722984874006e-02	2.000305924168565e-01	1.789808152815748e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.285159995972098e-04	
41	-6.000000000000000e-02	1.189339825000000e-03	1.225991811268702e+00	8.346924002997783e+01	1.362249558578721e-02	2.564586124272193e+05	2.960550772231673e-01	2.822807251264031e+03	1.014467319639358e+05	2.882576468313682e+02	5.173175995481315e-02	2.000320713086858e-01	1.789816963376398e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.285816097455568e-04	
42	-2.121321000000000e-02	2.378679650000000e-03	1.225105978850437e+00	8.343544757657988e+01	3.118197973844774e-03	2.562272686657988e+05	2.559444124822157e-01	2.465388583066469e+03	1.013543131914887e+05	2.882032812514696e+02	1.914863611926253e-02	2.001145355429457e-01	1.789554690714881e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.271844252634494e-04	
43	-2.315254950000000e-02	2.378679650000000e-03	1.225213684612134e+00	8.343557403578164e+01	1.953506449059298e-02	2.562549904509566e+05	2.570814424711989e-01	2.475444518507688e+03	1.013654977362954e+05	2.882097466636480e+02	2.309185456755861e-02	2.000950081450020e-01	1.789585882667746e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.272416727680012e-04	
44	-2.509188900000000e-02	2.378679650000000e-03	1.225282460571620e+00	8.343342384137345e+01	2.497203177044716e-02	2.562731475167609e+05	2.587446979680925e-01	2.490219931473698e+03	1.013728820524579e+05	2.882145636950948e+02	2.569526599134900e-02	2.000769518492072e-01	1.789609121898247e-05	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.273121848329271e-04	
